iso3c,misreport_mean,misreport_std,misreport_median,n_years,gdp_growth_mean,nightlight_growth_mean,t_stat,significant,anomaly_count,peak_anomaly_zscore,years_observed,anomaly_rate,peak_anomaly_year,rank,country_name,region_code,income_level
MDA,-7.177602377288685,23.84367292141061,-3.968443632754615,6,3.8721410336931603,8.483489381071706,-0.7373638893174623,0,1,1.707253013322409,6,0.16666666666666666,2015,1,Moldova,ECS,UMC
BGD,-4.053575082077385,24.326925445908806,-0.07403735911782927,6,5.954579767026966,10.537860652301802,-0.40815641118429463,0,1,1.6852995184495068,6,0.16666666666666666,2016,2,Bangladesh,SAS,LMC
THA,-8.76992099096041,22.07971210487006,-13.105739410227823,6,3.497874192282557,10.608966926521333,-0.972921721548997,0,0,1.4535903150261922,6,0.0,2016,3,Thailand,EAS,UMC
LKA,-11.90965289458829,24.72426009974114,-8.601009966058815,6,4.7111048229147245,14.107210722292697,-1.1799169110709782,0,0,1.4276972985945557,6,0.0,2016,4,Sri Lanka,SAS,LMC
VNM,-3.2114396216302334,14.501038570258201,-3.323685085479283,6,6.432125205215514,9.595945683644016,-0.5424706909534605,0,0,1.3895513525645034,6,0.0,2020,5,Viet Nam,EAS,LMC
GEO,-6.898170002987914,27.17046600095387,-0.39069663139120836,6,5.067945097355233,9.7504075350551,-0.6218883645830844,0,0,1.3862615111499623,6,0.0,2018,6,Georgia,ECS,UMC
ALB,-4.667292475692084,21.862232552364617,-0.1255493664888565,6,3.8576444579568014,6.640635198252454,-0.5229331001943042,0,0,1.3456683169946548,6,0.0,2015,7,Albania,ECS,UMC
CHN,-5.065760345234892,23.798205009401826,2.923914393532706,6,8.700634591534378,11.034262145244151,-0.521406047227027,0,0,1.2803551431993985,6,0.0,2016,8,China,EAS,UMC
GTM,-9.519306900020865,25.871603578195558,-5.969451249647985,6,3.2316772757787655,12.100814307548923,-0.9012755834608587,0,0,1.2200133397449713,6,0.0,2016,9,Guatemala,LCN,UMC
IND,-1.6869696550532165,13.950508287849834,1.8883375293801479,6,5.877759272762295,6.286220702602869,-0.2962053268007642,0,0,1.2040070555149924,6,0.0,2016,10,India,SAS,LMC
SLV,-5.832177280392103,18.44351212099695,-5.290610168341377,6,1.515125275267626,6.522759953023971,-0.7745736458811369,0,0,1.1795644621088144,6,0.0,2016,11,El Salvador,LCN,UMC
AZE,-5.891859361566198,23.728044810397613,0.5937847177959266,6,8.082547982746648,5.545328105161971,-0.6082274872370997,0,0,1.1732263648063195,6,0.0,2015,12,Azerbaijan,ECS,UMC
CUB,-8.999756775386727,21.781676950163074,-1.136251745876479,6,3.146895528297828,8.64915575386138,-1.0120805647467908,0,0,1.0844767189817268,6,0.0,2016,13,Cuba,LCN,UMC
MYS,-3.240183114941248,13.212722351746798,-3.5608170621591047,6,4.567600240857231,6.432427122003991,-0.6006934145360697,0,0,1.0832878931431664,6,0.0,2016,14,Malaysia,EAS,UMC
MNE,-4.0331397345754505,15.189576777509224,0.15157807337916585,6,2.2175701649423045,4.585351750978782,-0.6503890500544813,0,0,1.00670067642139,6,0.0,2016,15,Montenegro,ECS,UMC
EGY,0.16074813946277003,11.252238156803203,2.8903955230426552,6,4.3517578207905085,4.394793537501631,0.034993119884106756,0,0,0.9905463258364762,6,0.0,2018,16,"Egypt, Arab Rep.",MEA,LMC
MKD,-3.2668097423162425,16.827903499686435,1.885368687035947,6,2.5240698680405713,4.914877960759701,-0.47552072993388034,0,0,0.9581713938463085,6,0.0,2018,17,North Macedonia,ECS,UMC
GRD,-0.5062023934008533,10.109387160247083,4.125241005324405,6,1.8834911845002127,1.4903411679996996,-0.12265210054309364,0,0,0.9489740098197401,6,0.0,2016,18,Grenada,LCN,UMC
MEX,-7.401495724679163,18.034328404227093,1.1321694806763454,6,1.3158761988618148,7.33014609210282,-1.005298753160426,0,0,0.9335396688751895,6,0.0,2016,19,Mexico,LCN,UMC
BIH,-4.442749562092114,16.396848132810806,-1.5094474620951321,6,2.840117659569372,6.854457961506476,-0.663692765460381,0,0,0.9062165858825089,6,0.0,2018,20,Bosnia and Herzegovina,ECS,UMC
DZA,-6.550187655974535,18.575255672479873,1.509535861911629,6,2.9095238095545723,7.533520989480917,-0.8637629413836536,0,0,0.8831373825677057,6,0.0,2018,21,Algeria,MEA,UMC
UKR,-5.461193851022053,15.904127559147101,-1.9164510624893996,6,2.1398232585147037,5.1216963971861,-0.8411111060119328,0,0,0.874933333561785,6,0.0,2015,22,Ukraine,ECS,UMC
DOM,-6.416963021596378,12.915906930940226,-1.7023873404763257,6,4.345490282143087,10.034264361253372,-1.216971071815787,0,0,0.8742609381714358,6,0.0,2016,23,Dominican Republic,LCN,UMC
IRQ,-2.3169851960966508,8.720114689282484,-3.0910694548182738,6,4.588569356421149,4.097858124477566,-0.6508436728469459,0,0,0.8001161790910853,6,0.0,2019,24,Iraq,MEA,UMC
MUS,-3.3272934927366347,9.041274348432417,0.19902186767344365,6,3.2130281795500184,3.9677095577119537,-0.9014405456129848,0,0,0.7722793113354016,6,0.0,2015,25,Mauritius,SSF,UMC
MAR,-7.758505460846258,16.974069507810153,0.36769413691445,6,3.631486206019707,9.20885134306944,-1.1196124498562843,0,0,0.7571149315414123,6,0.0,2018,26,Morocco,MEA,LMC
IRN,-4.890526443647348,16.252322922428675,0.46265521051208947,6,3.038326614739521,6.348771360122522,-0.7370819800775863,0,0,0.7532321892550987,6,0.0,2019,27,"Iran, Islamic Rep.",MEA,UMC
SRB,-1.674006883232923,8.895552646699224,1.1115779248956523,6,3.1061049546293127,4.18798590555092,-0.46095648608734785,0,0,0.7377889991407157,6,0.0,2015,28,Serbia,ECS,UMC
ECU,-8.559559188306347,10.275292978592052,-8.631606873059553,6,3.159002451425311,8.120682447088981,-2.0404822011581016,1,0,0.6310421074202477,6,0.0,2019,29,Ecuador,LCN,UMC
TUR,-5.587504919622063,10.287397537426012,-2.3754615268408594,6,4.855117800812038,9.508827492081563,-1.330417721155672,0,0,0.6233715019584247,6,0.0,2018,30,Turkiye,ECS,UMC
JAM,-3.0267029970456556,6.928828607192977,-0.8858685868415775,6,0.5781772464428783,3.3593388760315075,-1.0700045225563697,0,0,0.6022522064739314,6,0.0,2016,31,Jamaica,LCN,UMC
TUN,-6.714319280882428,14.25862228554901,-0.09069471845451293,6,2.555687710168827,6.634255450835371,-1.1534533897402819,0,0,0.5817558112322132,6,0.0,2018,32,Tunisia,MEA,LMC
ARG,-12.437524236584752,23.542825913672665,0.45217027708526425,6,1.4174138812545225,10.595956350409066,-1.2940497523467824,0,0,0.494970015567086,6,0.0,2019,33,Argentina,LCN,UMC
BLR,-4.9392069912348076,10.289331511597423,-1.523007892641151,6,4.296203576169871,4.955719762361608,-1.175833128602766,0,0,0.48686385074497657,6,0.0,2019,34,Belarus,ECS,UMC
LBN,-7.567092275016432,6.683374086308208,-6.584639046298284,6,1.990381102849539,3.02048702318009,-2.773376840946113,1,0,0.39458000633483603,6,0.0,2015,35,Lebanon,MEA,LMC
JOR,-8.483762130057054,13.352639612589277,-4.237337477151026,6,4.175974328368217,10.072406731045547,-1.5563131276451332,0,0,0.32001118106877413,6,0.0,2015,36,Jordan,MEA,LMC
